Sarlavha (UZ),Kompaniya (Original),Joylashuv (UZ),Sana (Original),Havola
Vision / 3D Ai ishlab chiqaruvchisi,(주)에이아이웍스,"Songpa -Gu, Seul",~ 08/20(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51358987&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
Yangi ma'lumotlar muhandisi,(주)에이아이웍스,"Songpa -Gu, Seul",~ 08/20(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51359769&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
AI (sun'iy aql) ishlab chiqish va ma'lumotlarni tahlil qilish tadqiqotchisi,마린웍스(주),"Jongno -Gu, Seul",~ 09/22(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51384451&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
AI ma'lumotlari olimi ishlab chiqarish,(주)애자일소다,Gangnam - The Seul,~ 08/12(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51290438&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
[Yangi / martaba] AI / katta ma'lumotni rivojlantirish,포인트아이(주),Gangnam - The Seul,~ 08/15(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51315974&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
"Ishlab chiqaruvchi (EI NLP, AI ma'lumotni qayta ishlash) Yangi / martaba yollashi",(주)엔디소프트,Busdan Xelandae -Gu,~ 09/23(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51394529&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
[Sun'iy razvedka yechimi] muhandislarni ish bilan ta'minlash,(주)제논,Gangnam - The Seul,~ 08/04(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50959033&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
Tezkor muhandis,(주)보이스루,Gangnam - The Seul,~ 07/29(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51161871&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
Dasturiy ta'minot sifatini tekshirish va muhandisni yollash,(주)뉴라텍,Gangnam - The Seul,~ 09/21(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51373816&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
[Hurmatli siz / pufakchiligingiz] Rivojlanishni rivojlantirish pozitsiyasi,(주)디어유,Gangnam - The Seul,~ 08/22(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51372080&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
[Cl Light] Elektron qismlarni xarid qilish Mall dasturchilarini yollash,(주)씨엘라이트,"Geumcheeeeeeeeeeeeeeeeeee, Seul",~ 08/23(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51385104&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
2025 ma'lumotni tahlil qilish bo'yicha mutaxassislar uchun 2025 yangi va kareralarni yollash,(주)베가스,"Jung -Gu, Seul",~ 08/14(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51300142&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
2025 Texnologiyalarni rivojlantirish bo'limi uchun yangi / martaba yollash,에스씨브이(주),Avtobus gizang-kuyov,~ 08/10(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51333173&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
Xanyang Axborot va kommunikatsiya AI ishlab chiqaruvchi yollash,(주)한양정보통신,"Seocho -Gu, Seul",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51290302&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
"[Cal Co., Ltd./ Yaponiya] Web / IT ishlab chiqaruvchi yollash",칼주식회사(영업소),yapon,~ 08/13(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51293125&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
"[Yaponiya / Cal Co., Ltd.",칼주식회사(영업소),yapon,~ 08/24(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51391222&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
Mark bulutli eritmani qaytarib berishni qayta ishlab chiqaruvchisi (yangi / martaba),(주)마크클라우드,Gangnam - The Seul,~ 08/10(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51006217&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
"MakKay Co., MChJ 2025 AI tadqiqot / ishlab chiqaruvchi yollash",(주)맥케이,"Gangseo -Gu, Seul",오늘마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51145023&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
"[Ai platformasi] AI modeli, o'rnatilgan FW-modeli, bulutli tizimni rivojlantirish",(주)인티그리트,Gangnam - The Seul,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50941608&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
ART SEKISTON RIOLIYI VA AVTOMOBILGAN ISHLAB CHIQARISH KOMPANIYASI (hal qilindi),나모웹비즈(주),"Songpa -Gu, Seul",~ 08/14(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51305083&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
AI tadqiqotchisi va maslahatchi,(주)에이프리카,"Seongdongu, Seul",~ 08/21(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51370840&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
[Beacon Cornse] Web dasturchisi yangi / martaba yollash,비컴유니버스(주),Gangnam - The Seul,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50987322&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
Doimiy ishchilarni yollash (yangi / martaba),(주)씨엔에스,DAEJEEEEEET DAEEOOG,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51349100&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
Ai avtomatlashtirish SWRIVIVI (Robototika LLM / latta),(주)비전스페이스,Gangnam - The Seul,~ 08/22(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51373668&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
[Karyera] Backend ishlab chiqaruvchilarni yollash,예진(주),"Songpa -Gu, Seul",내일마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51398343&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
Ai agentini ishlab chiqaruvchi yollash,엠클라우드브리지(주),Gangnam - The Seul,~ 08/02(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51136947&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
[Harbiy xizmat ixtisosligi: Sun'iy maxsus ilmiy-tadqiqot instituti (professional tadqiqotchi),(주)제이엘케이,Gangnam - The Seul,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51359854&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
[Jl k] LLM tadqiqot muhandisi,(주)제이엘케이,Gangnam - The Seul,~ 07/30(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51370350&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
AI Hector Group Groektori (AI Rejalashtirish / AI rivojlanish),(주)헥토,Gangnam - The Seul,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50907153&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
Minoper muhandislarni yollash,망고클라우드(주),Busan Buk -Gu,~ 08/07(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51252537&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
Yashil Axborotni tahlil qilish TypmuctmeUctuticuctreucuport Tur,(주)그린에이아이,Seobuk - The Cheonon - Chungnam,~ 08/10(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51277903&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
Yangi platformani rivojlantirishni yollash (2 yillik tajribadan kam),(주)두나미스아트테크놀로지스,Gangnam - The Seul,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51050375&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
Atrof-muhit sohasida ilmiy-tadqiqot va ma'lumotlar tahlil qilish menejeri,지씨에스솔루션(주),서울 강서구,~ 08/23(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51383960&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
[용인/정규직/성과급] 제조업 공장기획(생산관리/SCM) 팀장 채용,(주)제이캐스팅,"Chuin-The, Yongin -si, Gyeonggi -do -do",~ 08/01(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51380676&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
2025 S / W tarqalgan yangi / tajriba oshkor qilish,"주식회사오르빛알티(OrbitRTCo.,Ltd.)","Geumcheeeeeeeeeeeeeeeeeee, Seul",~ 08/14(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51290707&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
"[Tokio ishlayotgan] Orqa oxiriga, Server Junior dasturchilari (yapon majburiy)",이이넥서스,yapon,~ 08/17(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51338667&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
"[Tokio Mehnat] Backendni yollash, Server dasturchilari (yapon majburiy)",이이넥서스,yapon,~ 08/17(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51338662&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
[Kupang Logistic xizmati] Logistika innovatsion rukie,쿠팡(주),"Songpa -Gu, Seul",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51147911&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
Yangi biznes savdosi va tajribali xodimlarni yollash,(주)테크웨이즈,"Suji-dan, yongin - gyeonggi -do -do",~ 08/09(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51350871&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
[Cymon] S / W W ning yangi / martaba yollash,(주)싸이몬,"Suji-dan, yongin - gyeonggi -do -do",~ 08/10(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51276919&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
Somosont teshigi / kam kodlash tajribasini ishlab chiquvchisi,(주)솔로몬텍,"Geumcheeeeeeeeeeeeeeeeeee, Seul",~ 08/20(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51353864&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
Yirik tilni modellashtirish olimi,(주)엘지경영개발원,"Gangseo -Gu, Seul",~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51332863&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
[Ai tadqiqotchisi] NLP tadqiqot muhandisi startasht,(주)엘지경영개발원,"Gangseo -Gu, Seul",~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51345934&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
[Karyera] 'Amorepific Carecutication_hr kitektiv va muhandis,(주)아모레퍼시픽,Barcha Seul,~ 08/11(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51345635&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
Injilning ikkinchi darajali ishga qabul qilish,(주)인텔리빅스,"Seocho -Gu, Seul",~ 08/01(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51191184&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
Avtomatlashtirish uchun asbob-uskunalar Boshqarish vositasi yig'ish,(주)엠플러스,"Gebundeok - xeongju -si, chungbuk",~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51169557&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
SW dasturchilarini yollash (Daegu),(주)소프트아이텍,Daegu dong-ning,~ 08/14(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51299281&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
"Solic Eng Co., Ltd.Ict biznes-biznes-jamoasi bulutli biznes jamoasi",(주)솔리드이엔지,DAEJON Yussong -Gu,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50974737&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
Saraton Markazining milliy saraton markazi tomonidan kiritilgan jamoa ilmiy-tadqiqot instituti (sog'liqni saqlash katta ma'lumotlar),국립암센터,"Ilsan -dong --Gu, GYANIZ -SI, GYEONGGI -DO",~ 08/20(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51347127&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
"JC HYun tizimi Co., Ltd.",제이씨현시스템㈜,Yongsan - The Seul,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50998980&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
Logistika avtomatlashtirish uskunalari S / W dasturer yollash,시너스텍(주),"Gvakeon, Gyeonggi -do -do",~ 08/31(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51323178&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
[Rasm] Mashinani ko'rish SW dasturiy ta'minotni ishlab chiquvchisi (C ++ / MFC),(주)그림,Gwangmyeong - - Gyeonggi -do,~ 08/23(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51380934&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
[Cashvalkulky] Orqaga Rivojlanishni qayta ishlash Tyecustratsiyasi,넛지헬스케어(주),Gangnam - The Seul,~ 08/04(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50959812&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
[Selvas Sog'liqni saqlash] SW ishlab chiqaruvchisi va savdo yangi / martaba yollash,(주)셀바스헬스케어,DAEJON Yussong -Gu,~ 08/16(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51322092&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
[Seelvas Sog'liqni saqlash] SW dasturchisi yangi / martaba yollash,(주)셀바스헬스케어,DAEJON Yussong -Gu,~ 08/17(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51333153&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
[Neyroeka] Avtomatlashtirish uskunalarini ishlab chiqish va ishlab chiqarish texnologiyasini ishga tushirish (Chionan filiali),(주)뉴로메카,Seobuk - The Cheonon - Chungnam,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51360606&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
Rap menejment xonasi (aktsiyadorlik va menejment uchun),하나증권(주),"Yeongdeungpo -Gu, Seul",~ 08/06(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51380514&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
[Yeuoido / ishlash darajasi / o'z-o'zidan viktoratsion ma'lumotni baholash to'g'risidagi ma'lumot statistik yollash,(주)메이크인,"Yeongdeungpo -Gu, Seul",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51237161&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
[Balsan Stantsiya / ro'yxatlangan kompaniya / yangi mumkin bo'lgan kompaniya) moliyaviy uni yollash korporativ ma'lumotlar bo'yicha yordam,(주)사람인에이치에스,"Gangseo -Gu, Seul",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51273952&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=e084b83e-9f0c-4438-ad97-ddcdd2b9d84c
"[Umumiy] AI avtomatlashtirilgan muhandisi (3 oy, tajriba -pe dasturi)",(주)고위드,Gangnam - The Seul,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51334617&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
Sun'iy intellekt (AI) xizmatini rejalashtiruvchisi (yangi / martaba),㈜더아이엠씨,"Jung -Gu, Seul",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51077641&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
[Yangi] Mobil RTS va Server / MMORPG Mijoz,(주)이스트게임즈,"Seocho -Gu, Seul",~ 08/26(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51146341&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
"[To'liq ish, kontrakt ishi, stavka, stol] [Yangi, martaba] AI ishlab chiqaruvchi / ml muhandisni yollash",(주)랩큐,"Yeongdeungpo -Gu, Seul",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50895707&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
"[Fit Tech Co., Ltd.] R & Dda ko'p mehnat qiladigan odam",(주)에프디테크,Gangvon Woneju shahri,~ 08/17(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51331705&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
Vision optik rivojlanish yangi / tajribasi (kasbiy xodimlar mavjud),(주)윈텍오토메이션,"YongTton -Gu, Suwon -si, Gyeonggi -do -do",~ 08/21(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51358260&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
Mobil mobil robot dasturiy ta'minoti,(주)시스콘로보틱스,"Seongnam -si, Gyeonggi -do -do",~ 08/16(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51327827&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
[Naver Labs] Iste'mol va robototexnika tadqiqot muhandisi,네이버랩스(주),"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",~ 08/17(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51361828&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
Java kabi so'nggi tillarda asportilayotganlarni to'liq qidiruvchilar,(주)웰브릿지,"Songpa -Gu, Seul",~ 08/22(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51376733&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
[Yeuoido / ~ ~4 million / konversiya] Davlat korporatsiyalari bo'yicha statistikalarni yollash,템프인(주),"Yeongdeungpo -Gu, Seul",~ 08/06(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51223513&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
[Gangnam / Ish haqi bo'yicha maslahat / muntazam ish bilan ta'minlash] AI muhandisi AI muhandisi,템프인(주),Gangnam - The Seul,~ 08/09(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51265152&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
Veb dasturchilarni yollash (martaba),(주)셀메이트,"Mapo -Gu, Seul",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51270873&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
Ko'z texnologiyasi guruhi bilan hamkasbini topish,포인트아이(주),Gangnam - The Seul,~ 08/15(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51314443&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
[Laders Raqam] Java Backend Developer yollash yoki 2 yil yoki undan ortiq],(주)리드넘버,Seul Guro -Gu,~ 08/20(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51350359&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
[Chuqur x] [ai yarimto'g'inchi] doimiy ravishda yollash,(주)딥엑스,"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",내일마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51360261&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
Yangi va martaba avtomobilsozi S / VT ishlab chiquvchilar jalb qilinadi (avtoulovlar),(주)모비핀테크놀러지,Gangnam - The Seul,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51127593&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
Mobile jumboq o'yini O'yin dasturchisi,(주)퍼즐원스튜디오,"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51384204&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
Backendni (Server) va oldingi rivojlanish xodimlarini yollash,(주)엠넥스,"Dong -Gu, Anang -si, Gyeonggi -do -do",~ 08/22(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51375922&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
Birlik va veb-ishlab chiqaruvchi yangi / martaba ish joylari,(주)엘쏠텍,"Giheung -gu, Yongin -si, Gyeonggi -do -do",~ 08/23(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51381982&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
Yangi tugun zaxirasi,(주)포지큐브,Gangnam - The Seul,~ 08/20(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51349191&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
To'liq va shartnoma ishchilarini lavozimiga o'tkazish,(주)위키드스톰,"Gangseo -Gu, Seul",~ 08/23(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51383279&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
[Tomas Towetin] Yangi AI muhandislarini yollash,(주)토마토체인,"Mapo -Gu, Seul",~ 08/23(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51386366&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5614e112-5649-48f2-9c31-643053feb2b8
