Sarlavha (UZ),Kompaniya (UZ),Joylashuv (UZ),Sana (UZ),Havola
Tarmoq muhandisi -Office tarmog'i,"Kakao Pay Co., Ltd.","Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",~ 08/23 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51385217&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
Ishlab chiquvchilarni yollash (yangi / martaba),Ikki oy,Busdan Xelandae -Gu,~ 07/31 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51226686&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
[Kun laboratoriyalari] ishlab chiqaruvchini yollash (farovonlikni ta'minlash),"Kun lablari CO., LTD.",Gangnam - The Seul,~ 08/09 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51266719&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
TIM tajribali xodimlarni yollash (Jonbobo / Iksan),"Twww Co., LTD.","Iksan -si, Jeonbuk",~ 09/01 (dona),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51203497&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
[DB GRB GUGN GROUP] Himoyachilarni yollash bo'yicha xodimlar (Iyul),"Db Hitech Co., Ltd.","Bucheon -si, Gyeonggi -do",~ 08/03 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51208268&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
[Samg o'yin-kulgi] ishlab chiqarish bosh qarorgohining har bir sektorini yollash (yangi / martaba),"Sam Enternotect Co., Ltd.",Gangnam - The Seul,~ 08/31 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51289371&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
"Praco Co., Ltd. uchun yangi va karyeralarni yollash (Xarid menejmenti guruhi)","Praco co., ltd.","H9ASAGON -SI, GYEONGI -DO",Yollashda,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51061854&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
"""Praco"" markaziy texnologiyalari ilmiy-tadqiqot instituti (Air Mobility Rivcy Labl) tadqiqotchilarini yollash","Praco co., ltd.","H9ASAGON -SI, GYEONGI -DO",~ 08/08 (Fri),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51254603&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
Ilmiy ma'muriyatni yollash va tadqiq qilish bo'yicha xodimlar,Cha Tibbiyot Universiteti Kasalxona Kasalxonasi,"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",Yollashda,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51383676&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
Ikkinchi yarmida toifaga jalb qilish,"Atrium maslahatchisi Co., LTD.","H9ASAGON -SI, GYEONGI -DO",Ertaga tugatish,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51163612&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
"Yangi xodimlarni Atrof-muhit tadqiqot Co., Ltd-da o'rganish sohasida yollash.","Ixtilof co., ltd.","Geumcheeeeeeeeeeeeeeeeeee, Seul",~ 08/20 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51349697&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
[Incheeon Songdo ishlamoqda Bosh ofis ishchilarini yollash (ish kunlarida soat 13:00 da ishlaydi),"Showem Co., LTD.",Icheoneu -Gu,~ 09/12 (Fri),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51288659&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
[Aladdin] Orqaga oxirgi muhandis,"Aladdin aloqa Co., Ltd.","Jung -Gu, Seul",~ 07/31 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51147592&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
[Aladdin] Kartaning martaba ishi,"Aladdin aloqa Co., Ltd.","Jung -Gu, Seul",~ 08/01 (FRI),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51255906&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
[Aladdin] AI muhandisi (martaba ishi),"Aladdin aloqa Co., Ltd.","Jung -Gu, Seul",~ 08/17 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51326859&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
Katalog Ma'lumotlar Tasodifiy va Bosh vazir,"Kupang Co, Ltd.","Songpa -Gu, Seul",~ 07/30 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51156633&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
"Vitallab, Seul Milliy universitet kasalxonasida aspirantlarni yollash",Seul Milliy Universitet kasalxonasi,"Jongno -Gu, Seul",Muntazam yollash,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51071721&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
Yolg'iz ko'z texnologiyasi Ilmiy-tadqiqot instituti ma'lumotni tahlil qilish,"Ko'zlar Co., Ltd.",Icheoneu -Gu,Yollashda,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51316062&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
EIning rivojlanish bo'yicha ilmiy tadqiqot instituti,"Ko'zlar Co., Ltd.",Icheoneu -Gu,Yollashda,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51316207&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
ATI ko'z texnologiyasi bo'yicha ilmiy-tadqiqot instituti O'lchash ishi,"Ko'zlar Co., Ltd.",Icheoneu -Gu,Yollashda,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51316356&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
Global IT-Xavfsizlik nazorati markazini yollash (Osiyo),에스엔에프코리아(주),"Jung -Gu, Seul",~ 08/13 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51301589&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
AI + ma'lumotlar markazi mutaxassisi stajyorlari stajyorlarini yollash,Chungbuk Milliy universitetlar sanoatida --Cademic Hamkorlik Guruhi,Butun Chungbuuk,~ 08/10 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51253466&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
C ++ Dasturiy ta'minotni ishlab chiquvchi (yangi),"Penta xavfsizlik Co., Ltd.","Yeongdeungpo -Gu, Seul",~ 08/13 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51301600&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
Danam tizimlari R & D (Amaliy dasturiy ta'minot bo'limi) Yangi / martaba yollash,"Danam tizimlari Co., Ltd.","Dong -Gu, Anang -si, Gyeonggi -do -do",~ 07/31 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51175488&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=70b2dc77-7ae7-4032-a104-cc62533ab716
[Meti qurilishi] AI mahsulotlarini ishlab chiqish / Infratuzilma qurilishini ishga qabul qilish,"Meta qurilishi Co., Ltd.","Seocho -Gu, Seul",~ 08/17 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51271035&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
"SSFY, u professor dizaynerlik karyerasini yollash (muntazam ishchilar)","Ko'p kampus Co., Ltd.",Gangnam - The Seul,~ 07/31 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51397651&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
GITAI OTA dasturiy ta'minotni ishlab chiqish tajribasini ishlab chiqish,"Jit co., ltd.","Songpa -Gu, Seul",~ 08/03 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51285311&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
"Xanjin Axborot va aloqa Co., Ltd.","Xanjin Axborot va aloqa Co., Ltd.","Gangseo -Gu, Seul",~ 08/14 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51363261&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
[Yangi / martaba] dasturiy ta'minot uchun ajoyib iste'dodni yollash (SW),Xenara,Gangnam - The Seul,~ 07/31 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51002748&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
Vision inspektsiyasi tadqiqotlari va rivojlanish institutini yollash (yangi / martaba),"H -bee texnologiya Co., Ltd.","Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",~ 08/30 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51175928&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
Bioinformatika ilmiy-tadqiqot institutida tadqiqotchilarni yollash,Sanktologiya markazi,"Ilsan -dong --Gu, GYANIZ -SI, GYEONGGI -DO",~ 08/08 (Fri),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51304576&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
Java ishlab chiqaruvchi yollash,"Koreya ekspert Co., Ltd.","Yeongdeungpo -Gu, Seul",Yollashda,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51350063&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
Kyobo Qimmatli qog'ozlar ishlab chiqaruvchi yollash,"Kyobo qimmatli qog'ozlar Co., Ltd.","Yeongdeungpo -Gu, Seul",~ 07/31 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51324610&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
Matnx ID MES ishlab chiquvchisi (veb-ishlab chiqaruvchi),"Tugman ID CO, LTD.","Songpa -Gu, Seul",~ 08/23 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51387084&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
[NPPRECTESS] Malware Javob / tahlil qilish,"Inca Internet Co., Ltd.","Gangseo -Gu, Seul",~ 08/24 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51394092&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
"Ai divizi, II ishlab chiqaruvchisi (yangi xodim)","Encell co., ltd.",Gangnam - The Seul,~ 07/31 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51170553&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
[Seul] R & D Strategik rivojlanish idorasi uchun katta ma'lumotlar ilmiy-tadqiqot institutini yollash,"Eng geodne Life Science Co., Ltd.","Seocho -Gu, Seul",~ 08/09 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51265711&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
K8S / Devoloperlarni yollash muhandislari,"Nwn fixa i & c co., ltd.",Seul Guro -Gu,~ 08/15 (Fri),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51313161&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
[Nemaseeka] Dasturni ishlab chiquvchi yollash,"Neyromeka co., ltd.","Seongdongu, Seul",Yollashda,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50916000&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
[Cashval] Ma'lumotlar tahlili menejeri Kapulyatsiya Turlari,"Yong'oq sog'liqni saqlash Co., Ltd.",Gangnam - The Seul,~ 09/12 (Fri),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51290313&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
(Bepul ta'lim) bulutli,"SK Shielters Co., Ltd.",Barcha Seul,~ 08/24 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51395219&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
[Infratuzilma jamoasi] IT infratuzilma muhandisi,"Thrrien Co., Ltd.",Gangnam - The Seul,~ 08/19 (Tue),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51349901&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
[Jiangsu Company / Doimiy ishchilar / Robototika yechimi] AI muhandislarini yollash,"Inson Co., Ltd.","Gimhee -si, gyeongnam",Yollashda,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51385132&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
Tizim va kompyuterlashtirilgan tizimga mas'uliyatli odamlarni yollash,"Anam elektronika co., ltd.",Seul Guro -Gu,Bugungi yakun,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50902191&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
[Avtobus filiali] Optik tajribalarni yollash yordamchi ilmiy-tadqiqot instituti,"ESPAP CO, LTD.",Buan Nam-The,~ 08/22 (Fri),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51103183&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
[Alba jansi] Veb-ishlab chiqaruvchilarning to'liq ishchilarini yollash,"Media Networks Co., Ltd.",Gangnam - The Seul,~ 07/31 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51294356&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
Ma'lumotlar bo'yicha tahlilchi,"AEEN o'yinlari Co., Ltd.","Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",Yollashda,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51224174&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
Mobigen Java Server dasturchisi yollash,"Mobigen Co., LTD.","Seongnam -si, Gyeonggi -do -do",~ 07/31 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51229054&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
Sun'iy intellekt (AI) modeler (karera),"IMC Co., LTD.","Jung -Gu, Seul",Yollashda,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51266141&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
AI chuqur eritmasi va ishlab chiqaruvchi (yangi ishga qabul qilish) ishga qabul qilish to'g'risida e'lon,"Ai lo., ltd.","Gvakeon, Gyeonggi -do -do",~ 08/20 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51352967&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
[Ineeeji] Oddiy ma'lumotlar tahlilchisini yollash / AI muhandis mutaxassisi,"Easy Co., LTD.","Seocho -Gu, Seul",~ 07/31 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51317850&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
[APLUS AI] Qidiruv va mahsulot menejerini tavsiya eting (yangi ~ 5 yil),"Buzzney Co., Ltd.",Seul Gvana-ning,~ 07/31 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51242033&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
Vision / 3D Ai ishlab chiqaruvchisi,"Ai ishlaydi, ltd.","Songpa -Gu, Seul",~ 08/20 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51358987&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
Yangi ma'lumotlar muhandisi,"Ai ishlaydi, ltd.","Songpa -Gu, Seul",~ 08/20 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51359769&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
[NC IDS] [shartnomani berish] AT xizmatidan foydalanish - Microsoft 365 muhandislari,"NC IDS CO, LTD.","Seongnam -si, Gyeonggi -do -do",~ 08/10 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51385471&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
AI ma'lumotlari olimi ishlab chiqarish,Bu biron bir joyda tug'ma,Gangnam - The Seul,~ 08/12 (Tue),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51290438&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
[Yangi / martaba] AI / katta ma'lumotni rivojlantirish,"Nuqta ko'z co., ltd.",Gangnam - The Seul,~ 08/15 (Fri),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51315974&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
"Ishlab chiqaruvchi (EI NLP, AI ma'lumotni qayta ishlash) Yangi / martaba yollashi","Ensysoft Co., Ltd.",Busdan Xelandae -Gu,~ 09/23 (Tue),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51394529&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
[Sun'iy razvedka yechimi] muhandislarni ish bilan ta'minlash,Ksenon,Gangnam - The Seul,~ 08/04 (dona),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50959033&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
Tezkor muhandis,Ovoz berish,Gangnam - The Seul,Ertaga tugatish,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51161871&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
[Hurmatli siz / pufakchiligingiz] Rivojlanishni rivojlantirish pozitsiyasi,"Aziz Yu Co., Ltd.",Gangnam - The Seul,~ 08/22 (Fri),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51372080&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
[Cl Light] Elektron qismlarni xarid qilish Mall dasturchilarini yollash,"Cl Light Co., Ltd.","Geumcheeeeeeeeeeeeeeeeeee, Seul",~ 08/23 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51385104&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
2025 ma'lumotni tahlil qilish bo'yicha mutaxassislar uchun 2025 yangi va kareralarni yollash,"Vegas Co, Ltd.","Jung -Gu, Seul",~ 08/14 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51300142&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
2025 Texnologiyalarni rivojlantirish bo'limi Yangi / martaba yollash,"SCV Co., LTD.",Avtobus gizang-kuyov,~ 08/10 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51333173&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
"[Cal Co., Ltd./ Yaponiya] Web / IT ishlab chiqaruvchi yollash","Carl Co., Ltd. (Savdo idorasi)",yapon,~ 08/13 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51293125&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
"[Yaponiya / Cal Co., Ltd.","Carl Co., Ltd. (Savdo idorasi)",yapon,~ 08/24 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51391222&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
Mark bulutli eritmani qaytarib berishni qayta ishlab chiqaruvchisi (yangi / martaba),"Mark Cloud Co., Ltd.",Gangnam - The Seul,~ 08/10 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51006217&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
"[Ai platformasi] AI modeli, o'rnatilgan FW-modeli, bulutli tizimni rivojlantirish","Initrit Co., LTD.",Gangnam - The Seul,Yollashda,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50941608&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
ART SEKISTON RIOLIYI VA AVTOMOBILGAN ISHLAB CHIQARISH KOMPANIYASI (hal qilindi),"Namo Web Fiz Co., Ltd.","Songpa -Gu, Seul",~ 08/14 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51305083&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
AI tadqiqotchisi va maslahatchi,"APRACA CO, LTD.","Seongdongu, Seul",~ 08/21 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51370840&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
[Beacon Cornse] Web dasturchisi yangi / martaba yollash,"Beacon Co., Ltd.",Gangnam - The Seul,Yollashda,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50987322&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
Doimiy ishchilarni yollash (yangi / martaba),"CNS CO., LTD.",DAEJEEEEEET DAEEOOG,Yollashda,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51349100&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
Ai avtomatlashtirish SWRIVIVI (Robototika LLM / latta),"Vision Flace Co., Ltd.",Gangnam - The Seul,~ 08/22 (Fri),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51373668&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
Ai agentini ishlab chiqaruvchi yollash,"Mclud Bridge Co., Ltd.",Gangnam - The Seul,~ 08/02 (SAT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51136947&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
[Jl k] LLM tadqiqot muhandisi,"Jlk co., ltd.",Gangnam - The Seul,~ 07/30 (Wed),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51370350&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
AI Hector Group Groektori (AI Rejalashtirish / AI rivojlanish),"Gotto Co., LTD.",Gangnam - The Seul,~ 07/31 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50907153&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
Minoper muhandislarni yollash,"Mango Cloud Co., Ltd.",Busan Buk -Gu,~ 08/07 (Thu),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51252537&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
Yashil Axborotni tahlil qilish TypmuctmeUctuticuctreucuport Tur,"Yashil Ai Co., LTD.",Seobuk - The Cheonon - Chungnam,~ 08/10 (Quyosh),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51277903&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
Yangi platformani rivojlantirishni yollash (2 yillik tajribadan kam),"Dunmais Badiiy texnologiya Co, LTD.",Gangnam - The Seul,Yollashda,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51050375&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9063c04a-2ff5-4886-a0ea-265858c28142
